specimen,sample,site,NRM,PTRM,NRM_x,NRM_y,NRM_z,PTRM_x,PTRM_y,PTRM_z,NRM_sigma,PTRM_sigma,B_lab,steptype,temp_step,correction,s_tensor,aniso_type,NLT_beta
NA02-11Fc,NA02-11Fc,NA02-11F,3.11e-07,0.0,-1.509476328462961e-07,1.5332701406920855e-08,2.714787660309108e-07,0.0,0.0,0.0,1.3295766572677992e-09,0.0,3e-05,ZI,273.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,3.043e-07,8.440876251024212e-09,-1.4843939361009366e-07,1.1943150033430565e-08,2.653706796010943e-07,1.3440737430207027e-09,7.161196442189142e-09,-4.2613522706770485e-09,1.300933044394184e-09,1.8277451589082955e-09,3e-05,ZI,373.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,2.72e-07,7.640351062731621e-09,-1.3639965069050087e-07,1.0734885319624181e-08,2.3508274613140768e-07,-2.2843780429721392e-09,-5.505668656263662e-10,-7.270038338622799e-09,1.1628451793467567e-09,1.6291670798410842e-09,3e-05,IZ,473.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,2.094e-07,4.063808439957138e-08,-1.0370137211131094e-07,8.708047517181211e-09,1.8171008593545365e-07,7.864197265820593e-09,-5.193857847238442e-09,-3.953014224226402e-08,8.952197814529811e-10,1.1571462653493811e-09,3e-05,ZI,573.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,1.567e-07,2.0370659534183934e-08,-8.62671826874106e-08,6.1837085443876605e-09,1.3066990831792524e-07,2.582524066490445e-10,-3.180210515821367e-09,-2.0119228032585096e-08,6.699185279545469e-10,8.986283212772953e-10,3e-05,IZ,623.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,1.488e-07,3.880375890971749e-08,-7.739768050597891e-08,4.462722179027624e-09,1.2700835863456873e-07,1.5776895132082411e-09,-8.871421696272611e-10,-3.8761521901162e-08,6.361447157602846e-10,8.076602339779597e-10,3e-05,ZI,673.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,1.282e-07,3.965028567186316e-08,-7.087176389617171e-08,3.218267966587692e-09,1.0678050305903475e-07,4.639161098574067e-10,3.4843973599097767e-10,-3.96460404763673e-08,5.480762940891699e-10,6.881857253788059e-10,3e-05,IZ,703.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,1.296e-07,8.212348535196114e-08,-6.980385035228323e-08,1.705969356834123e-09,1.0918183065212632e-07,7.635749825196735e-09,-1.0549227318978796e-09,-8.176092776498142e-08,5.540615266299252e-10,6.255981090304284e-10,3e-05,ZI,733.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,8.227999999999999e-08,9.737976617525799e-08,-4.824488042505409e-08,4.210266930504148e-10,6.665022617588008e-08,-4.766442038095202e-09,3.2858860837070372e-09,-9.720752462278987e-08,3.5176066675239386e-10,4.3865138390707e-10,3e-05,IZ,763.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,7.266e-08,1.605574274003057e-07,-4.228926017709986e-08,8.119952772622383e-10,5.9079901297677026e-08,8.873166415042385e-09,-2.7387551206258543e-09,-1.6028865721430398e-07,3.1063356886520345e-10,5.51530156667267e-10,3e-05,ZI,783.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,3.906e-08,1.6299569412868092e-07,-2.526299313135321e-08,-1.7637182901265002e-10,2.9789824957913588e-08,-4.228445393259445e-09,6.768489357996607e-09,-1.6280019688519242e-07,1.6698798788707468e-10,6.065712511524669e-10,3e-05,IZ,803.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,3.663e-08,1.8057560934547758e-07,-2.0341592800125642e-08,-3.806825619237922e-09,3.022390744193395e-08,-1.02519592392464e-09,4.777085817646306e-09,-1.8050949868330735e-07,1.5659933426276359e-10,6.675969519336448e-10,3e-05,ZI,818.0,1,,,
